rougher
rough
roughest
meaner
mean
meanest
heavier
heavy
heaviest
mightier
mighty
mightiest
noisier
noisy
noisiest
worse
bad
worst
sadder
sad
saddest
wilder
wild
wildest
stricter
strict
strictest
narrower
narrow
narrowest
classier
classy
classiest
earlier
early
earliest
fatter
fat
fattest
fuller
full
fullest
costlier
costly
costliest
tougher
tough
toughest
gentler
gentle
gentlest
shorter
short
shortest
softer
soft
softest
older
old
oldest
richer
rich
richest
weaker
weak
weakest
prettier
pretty
prettiest
cooler
cool
coolest
luckier
lucky
luckiest
lighter
light
lightest
fewer
few
fewest
sharper
sharp
sharpest
taller
tall
tallest
smoother
smooth
smoothest
nicer
nice
nicest
broader
broad
broadest
savvier
savvy
savviest
greater
great
greatest
leaner
lean
leanest
cleaner
clean
cleanest
colder
cold
coldest
deeper
deep
deepest
quicker
quick
quickest
closer
close
closest
kinder
kind
kindest
smarter
smart
smartest
milder
mild
mildest
friendlier
friendly
friendliest
livelier
lively
liveliest
younger
young
youngest
clearer
clear
clearest
stronger
strong
strongest
freer
free
freest
funnier
funny
funniest
bolder
bold
boldest
poorer
poor
poorest
messier
messy
messiest
longer
long
longest
harder
hard
hardest
wiser
wise
wisest
darker
dark
darkest
brighter
bright
brightest
cheaper
cheap
cheapest
higher
high
highest
fairer
fair
fairest
busier
busy
busiest
trickier
tricky
trickiest
slower
slow
slowest
bloodier
bloody
bloodiest
easier
easy
easiest
fresher
fresh
freshest
harsher
harsh
harshest
firmer
firm
firmest
better
good
best
greener
green
greenest
tastier
tasty
tastiest
slicker
slick
slickest
swifter
swift
swiftest
healthier
healthy
healthiest
faster
fastest
fast
bigger
big
biggest
lower
low
lowest
fancier
fancy
fanciest
steadier
steady
steadiest
simpler
simple
simplest
stickier
sticky
stickiest
pricier
pricey
priciest
stiffer
stiff
stiffest
riskier
risky
riskiest
warmer
warm
warmest
slimmer
slim
slimmest
thinner
thin
thinnest
tighter
tight
tightest
smaller
small
smallest
wider
wide
widest
louder
loud
loudest
newer
new
newest
thicker
thick
thickest
happier
happy
happiest
steeper
steep
steepest
larger
large
largest
nastier
nasty
nastiest
wealthier
wealthy
wealthiest
safer
safe
safest
